"county_fips","state","county_name","distance_nearest_farmersmarket_mile","distance_nearest_hub_mile","number_foodhub","has_hub","all_sales","d2c_sales_pct","local_sales_pct","intermediated_sales_pct_derived","SPMA","SPMA_0_100","share"
"08125","Colorado","Yuma",59.156034750661,128.496681657231,NA,FALSE,1090606000,0.064001113,0.319913894,99.935998887,66208.8956809696,41.5704233811498,NA
"09150","Connecticut","Northeastern Connecticut",4.28719099545525,8.9364974879675,1,TRUE,NA,NA,NA,NA,NA,NA,NA
"12015","Florida","Charlotte",8.82872397161216,112.341593496365,NA,FALSE,67178000,0.302182257,NA,99.697817743,7911.14067450587,31.9165811871169,0.991378319347051
"48153","Texas","Floyd",46.1490824600665,83.6842136277619,NA,FALSE,165634000,NA,NA,NA,NA,NA,NA
"27061","Minnesota","Itasca",20.2559154814605,51.4681187289434,NA,FALSE,13796000,1.790374041,NA,98.209625959,5716.81897543432,30.4405752701917,0.177297297297297
"31179","Nebraska","Wayne",18.6770927299902,84.8930510535749,NA,FALSE,315808000,0.030714864,NA,99.969285136,44085.2626804645,39.722380327262,NA
"37115","North Carolina","Madison",8.9871906127656,20.25964701656,NA,FALSE,5070000,23.01775169,27.43589783,76.98224831,23957.5053763677,36.9512142083402,0.21038961038961
"41031","Oregon","Jefferson",27.9198597618336,37.7518806266942,NA,FALSE,62653000,0.649609745,4.101958275,99.350390255,44197.2531527028,39.733909130202,NA
"01095","Alabama","Marshall",2.30974137699046,29.7248450743927,NA,FALSE,478336000,0.127525419,NA,99.872474581,655020.518048882,51.984994645356,0.2019890260631
"22065","Louisiana","Madison",48.306185853474,47.6503053122277,NA,FALSE,132563000,NA,NA,NA,NA,NA,0.0794353722668143
"26063","Michigan","Huron",14.7219040796104,64.5713084398054,NA,FALSE,817385000,0.028994905,0.289214998,99.971005095,197077.924231044,46.5271203183582,NA
"37049","North Carolina","Craven",1.34488944935059,28.1102498709077,NA,FALSE,92541000,0.06483613,NA,99.93516387,150209.471626727,45.2930663165836,0.44504165546896
"41065","Oregon","Wasco",30.4895910734262,40.7544793374038,NA,FALSE,137967000,0.453006864,34.04292297,99.546993136,83362.2597428184,42.6173059776765,9.30395001115822
"48351","Texas","Newton",11.814180487677,107.817999879717,NA,FALSE,2079000,1.68350172,7.407407284,98.31649828,426.593670781779,18.6566948030341,0.1280353200883
"06109","California","Tuolumne",21.0374107810035,15.9055297787637,1,TRUE,36676000,1.436906934,NA,98.563093066,144080.163976074,45.1037518700789,0.583333333333333
"12007","Florida","Bradford",4.12744142677571,40.6552107424161,NA,FALSE,22372000,5.413016319,8.87269783,94.586983681,83888.4750422075,42.6459002548526,0.0416561474375158
"51003","Virginia","Albemarle",4.08586749274262,4.0047462978266,1,TRUE,43216000,26.27267647,34.36458588,73.72732353,2666769.40617369,58.364848730546,1.75837725903614
"53021","Washington","Franklin",25.3481718318174,42.0591752015161,NA,FALSE,1006025000,0.092343628,NA,99.907656372,569625.976433102,51.3502318329646,6.17435230864672
"12103","Florida","Pinellas",5.37045148451989,49.0152385524326,NA,FALSE,7092000,1.085730433,NA,98.914269567,5589.62396750198,30.3383465278805,1.30950938824955
"02063","Alaska","Chugach",NA,148.029652620548,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
"16027","Idaho","Canyon",3.00968624161199,23.6334742582942,NA,FALSE,829378000,0.608890057,2.029352188,99.391109943,2033364.3794513,57.1325711135757,0.899433587156307
"08071","Colorado","Las Animas",28.171390930183,102.672788211181,NA,FALSE,31634000,1.229689598,11.93968487,98.770310402,3454.09733103689,28.1514944011168,0.00019319938176197
"39061","Ohio","Hamilton",2.20742359989115,3.99246436813505,1,TRUE,31628000,4.50233984,10.11761761,95.49766016,2187122.15614028,57.4638197202649,NA
"45025","South Carolina","Chesterfield",16.2199574703437,29.573671980281,NA,FALSE,116055000,0.778079331,NA,99.221920669,135094.486311257,44.8111283514422,NA
"18009","Indiana","Blackford",2.72229240651855,42.5543616173879,NA,FALSE,78176000,0.028141629,NA,99.971858371,46126.7828646783,39.9280835601616,0.00816104461371056
"27125","Minnesota","Red Lake",12.0968402516653,75.4851252913245,NA,FALSE,109527000,NA,NA,NA,NA,NA,NA
"42061","Pennsylvania","Huntingdon",5.16693618032081,22.452151643945,NA,FALSE,151708000,0.599177361,2.900308371,99.400822639,333194.013529086,48.9133873545629,0.241800643086817
"47049","Tennessee","Fentress",3.32249103315898,67.7992428569696,NA,FALSE,69202000,0.547672033,NA,99.452327967,49305.1270198997,40.2308768846998,NA
"48005","Texas","Angelina",8.51708151494313,151.794077921538,NA,FALSE,69997000,0.098575652,0.741460323,99.901424348,3986.06993102219,28.8022510363306,0.330739299610895
"48347","Texas","Nacogdoches",2.56651116300164,148.534816405865,NA,FALSE,578906000,0.011746294,0.063395441,99.988253706,36559.5706223224,38.871806597488,0.0748502994011976
"47141","Tennessee","Putnam",1.61626733044397,69.73105004373,NA,FALSE,15066000,0.68365854,1.413779378,99.31634146,42505.8256965135,39.5565917177116,NA
"49007","Utah","Carbon",12.1330583058556,163.878010463583,NA,FALSE,10269000,0.691401303,4.88849926,99.308598697,862.029465369983,21.847975030742,0.137865911237016
"36113","New York","Warren",6.04895530162341,46.6800070761709,NA,FALSE,2491000,4.5363307,NA,95.4636693,4179.60196724597,29.0176399405343,0.12987012987013
"38043","North Dakota","Kidder",9.83673642605472,142.830595491031,NA,FALSE,205893000,0.023313081,NA,99.976686919,10586.220473565,33.2400762250108,NA
"51630","Virginia","Fredericksburg",0.613389168312038,24.7315154610092,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
"29227","Missouri","Worth",16.758726469321,87.4652067552895,NA,FALSE,48410000,NA,NA,NA,NA,NA,0.0117647058823529
"13195","Georgia","Madison",11.7896738461669,56.1730314101692,NA,FALSE,402660000,0.07872647,NA,99.92127353,129789.601345,44.6290902315849,0.121148459383754
"21069","Kentucky","Fleming",1.15857317099529,65.5092664805183,NA,FALSE,48914000,0.365948409,0.560166836,99.634051591,144710.283128631,45.123581973777,0.215315315315315
"24027","Maryland","Howard",2.75487446486722,9.67185377703929,1,TRUE,29631000,8.74084568,NA,91.25915432,630338.633084223,51.8104550405672,0.280809738749829
"54075","West Virginia","Pocahontas",9.08007349145098,38.8016787893949,NA,FALSE,10237000,0.996385634,2.735176325,99.003614366,7968.81585857585,31.9495857771034,0.44296710986704
"28003","Mississippi","Alcorn",4.92877129229765,79.8242770087646,NA,FALSE,28561000,NA,NA,NA,NA,NA,0.0440324449594438
"12119","Florida","Sumter",6.23172281908583,17.8668381097305,NA,FALSE,86465000,0.35621351,3.318105698,99.64378649,277826.320950971,48.0875781706794,1.08607118412047
"04011","Arizona","Greenlee",38.1665336884896,63.3467019445811,NA,FALSE,3110000,15.8199358,NA,84.1800642,990.164876533394,22.4770380217357,0.116279069767442
